Trade Date,Arca,Amex,Consolidated
20230105,"4,390.0","2,535.3","35,196.2"
20230104,"5,037.8","3,668.0","44,805.5"
20230103,"4,419.1","2,616.3","35,154.6"
20221230,"4,026.5","2,110.9","30,439.2"
20221229,"4,186.0","1,693.0","32,168.5"
20221228,"4,204.0","2,869.9","41,858.5"
20221227,"3,725.9","2,298.8","28,056.2"
20221223,"4,097.4","2,273.9","30,520.6"
20221222,"5,508.8","2,681.3","42,498.9"
20221221,"4,126.3","2,339.6","40,343.3"
20221220,"4,108.9","2,637.4","32,257.6"
20221219,"4,459.2","2,448.4","35,452.4"
20221216,"6,117.8","3,295.2","47,974.7"
20221215,"5,383.4","2,980.1","42,382.8"
20221214,"4,966.2","2,325.5","41,515.7"
20221213,"5,695.3","3,475.9","43,903.7"
20221212,"4,244.2","3,429.2","35,399.4"
20221209,"4,647.9","2,658.5","36,562.2"
20221208,"4,408.2","2,340.8","35,009.4"
20221207,"4,357.5","2,656.8","37,873.0"
20221206,"5,092.8","2,782.2","39,106.5"
20221205,"4,666.6","2,978.2","38,634.6"
20221202,"5,728.7","3,299.0","42,850.5"
20221201,"5,250.7","3,145.6","42,584.0"
20221130,"5,563.0","3,029.5","47,433.2"
20221129,"3,451.4","2,181.3","28,996.9"
20221128,"3,950.0","2,142.4","31,216.4"
20221125,"2,276.0","1,057.7","18,204.7"
20221123,"4,497.1","2,399.8","36,502.3"
20221122,"4,459.9","2,490.7","37,849.1"
20221121,"4,213.1","2,250.4","35,902.4"
20221118,"5,058.6","3,782.6","42,348.8"
20221117,"4,870.7","3,402.2","40,711.4"
20221116,"4,405.9","2,834.4","38,384.2"
20221115,"6,313.0","3,515.2","47,864.0"
20221114,"4,930.3","2,861.1","39,076.0"
20221111,"6,986.0","3,522.3","55,538.4"
20221110,"7,511.0","3,396.9","54,131.3"
20221109,"5,198.2","3,053.7","41,640.5"
20221108,"5,059.4","3,246.4","45,102.7"
20221107,"4,462.1","2,984.0","35,764.1"
20221104,"6,904.5","3,608.2","53,532.7"
20221103,"5,144.0","2,869.7","41,699.8"
20221102,"5,413.1","2,514.5","45,344.9"
20221101,"3,877.6","2,162.3","32,084.9"
20221031,"4,085.0","2,372.6","33,160.8"
20221028,"5,959.4","2,982.9","48,704.1"
20221027,"4,956.1","2,140.8","40,428.2"
20221026,"5,497.7","2,734.6","45,009.0"
20221025,"5,253.1","2,349.0","38,290.4"
20221024,"4,977.0","2,821.3","38,723.3"
20221021,"6,281.6","3,644.8","48,928.5"
20221020,"4,923.7","2,770.4","38,055.8"
20221019,"4,364.7","2,618.4","37,815.5"
20221018,"4,669.5","2,535.4","35,501.0"
20221017,"3,951.4","2,498.0","34,051.4"
20221014,"4,954.1","2,835.1","42,051.4"
20221013,"5,711.9","4,001.6","49,203.5"
20221012,"3,684.5","2,712.7","35,240.4"
20221011,"4,102.4","3,140.1","35,386.1"
20221010,"3,679.1","2,821.0","32,954.6"
20221007,"5,188.1","3,476.1","46,178.0"
20221006,"3,680.0","2,502.5","34,266.1"
20221005,"3,956.2","3,000.1","39,791.5"
20221004,"4,442.9","2,731.6","39,176.1"
20221003,"4,184.4","3,426.4","36,732.7"
20220930,"4,543.3","3,153.0","43,762.9"
